,Company Name,Job Title,Location,Website URL
0,BBC,Data Analyst,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-bbc-3912068735?position=1&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=eBzRbXDgr%2BzMJweoCt%2BfaQ%3D%3D&trk=public_jobs_jserp-result_search-card
1,Dyson,Graduate Data Analyst,"Malmesbury, England, United Kingdom",https://uk.linkedin.com/jobs/view/graduate-data-analyst-at-dyson-3909010865?position=2&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=HiHMbwNPe5QjN9JqIVCvyg%3D%3D&trk=public_jobs_jserp-result_search-card
2,Torbay Pharma,Data Analyst - Generic Medicine,United Kingdom,https://uk.linkedin.com/jobs/view/data-analyst-generic-medicine-at-torbay-pharma-3904240943?position=3&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=XfkxymGw9B8mNSOMFHLbBg%3D%3D&trk=public_jobs_jserp-result_search-card
3,Ralph Lauren,Junior Machine Learning Engineer,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/junior-machine-learning-engineer-at-ralph-lauren-3853758485?position=4&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=wVuLAJ7reO7biaICYDDvfg%3D%3D&trk=public_jobs_jserp-result_search-card
4,PEP Health,Data Scientist,United Kingdom,https://uk.linkedin.com/jobs/view/data-scientist-at-pep-health-3905997394?position=5&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=n%2FhaDqnj83JDCJZK3CY%2B8Q%3D%3D&trk=public_jobs_jserp-result_search-card
5,GRAYCE,Graduate Data Analyst - Manchester,"Manchester, England, United Kingdom",https://uk.linkedin.com/jobs/view/graduate-data-analyst-manchester-at-grayce-3912067115?position=6&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=oFLRlNmuw%2FszVfXzC2GdVg%3D%3D&trk=public_jobs_jserp-result_search-card
6,Gopuff,"Data Analyst, In-Stock Management","London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-in-stock-management-at-gopuff-3900814634?position=7&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=3%2BajrZ8CZHFluhNccqmgRA%3D%3D&trk=public_jobs_jserp-result_search-card
7,InterEx Group,Data Scientist,"Greater London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-scientist-at-interex-group-3879605080?position=8&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=NFpTTknNekajGs6dHTvMCg%3D%3D&trk=public_jobs_jserp-result_search-card
8,Kantar Media,Data Scientist,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-scientist-at-kantar-media-3905541175?position=9&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=lwsohLK81K1b7VgF%2BKzr5A%3D%3D&trk=public_jobs_jserp-result_search-card
9,Acquire Me,Data Engineer Intern,"Greater London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-engineer-intern-at-acquire-me-3902403146?position=10&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=oEgTl6RxdB%2BdcM8YjEHdcA%3D%3D&trk=public_jobs_jserp-result_search-card
10,Omnis Partners,Analyst,"Oxfordshire, England, United Kingdom",https://uk.linkedin.com/jobs/view/analyst-at-omnis-partners-3911763571?position=11&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=iIPGZ8MSNc6%2FhFCYWA%2BtDw%3D%3D&trk=public_jobs_jserp-result_search-card
11,Energy Jobline,Graduate Software Engineer,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/graduate-software-engineer-at-energy-jobline-3909169165?position=12&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=s23gSNwwhD9t%2FUyFQtDuyQ%3D%3D&trk=public_jobs_jserp-result_search-card
12,Nicholson Glover,Data Scientist | Behavioural | PR and Comms,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-scientist-behavioural-pr-and-comms-at-nicholson-glover-3908285713?position=13&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=bhmevdITjd7v20Ch92F8Fw%3D%3D&trk=public_jobs_jserp-result_search-card
13,Meta,"Data Scientist, Product Analytics","London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-3912362497?position=14&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=YruAkTx5%2FFX%2FOSsRribgSg%3D%3D&trk=public_jobs_jserp-result_search-card
14,CricViz,Data Analyst,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-cricviz-3910997497?position=15&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=UTsVGnKk7nU9FMMhdJQTWA%3D%3D&trk=public_jobs_jserp-result_search-card
15,Tech Kinect,Data Scientist,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-scientist-at-tech-kinect-3908891221?position=16&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=Q2wxPBRAY9JsnuTfOhcQYw%3D%3D&trk=public_jobs_jserp-result_search-card
16,Meta,Enterprise Engineer (University Grad),"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/enterprise-engineer-university-grad-at-meta-3912361525?position=17&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=rec28JE%2BQC4vEu8t5g4FTA%3D%3D&trk=public_jobs_jserp-result_search-card
17,DHL Supply Chain,Data Scientist,Greater Portsmouth Area,https://uk.linkedin.com/jobs/view/data-scientist-at-dhl-supply-chain-3911958608?position=18&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=Bx7FjvO1vj4Q%2FlNgsS41Pw%3D%3D&trk=public_jobs_jserp-result_search-card
18,Morgan McKinley,Data Scientist,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-scientist-at-morgan-mckinley-3907438837?position=19&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=WNf%2FYuebmDdMW5a1B6xyLw%3D%3D&trk=public_jobs_jserp-result_search-card
19,GRAYCE,Graduate Software Developer - Manchester,"Manchester, England, United Kingdom",https://uk.linkedin.com/jobs/view/graduate-software-developer-manchester-at-grayce-3912067119?position=20&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=DTbEny8qpireoq5m%2BDKMRg%3D%3D&trk=public_jobs_jserp-result_search-card
20,QuanTech Partners,Quantitative Researcher [Python Developer] – London,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/quantitative-researcher-python-developer-%E2%80%93-london-at-quantech-partners-3909157439?position=21&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=adkIalRAcvWQkvYEDG3T9w%3D%3D&trk=public_jobs_jserp-result_search-card
21,Match Digital,Data Analyst,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-match-digital-3908868931?position=22&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=YkaOobL2Y9L77kptWl3zHA%3D%3D&trk=public_jobs_jserp-result_search-card
22,Northern Powergrid,Junior Data Analyst,"Dewsbury, England, United Kingdom",https://uk.linkedin.com/jobs/view/junior-data-analyst-at-northern-powergrid-3911495952?position=23&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=FLPL8xGPM43zWmZXbw%2FMJA%3D%3D&trk=public_jobs_jserp-result_search-card
23,VRS Recruitment,Data Scientist,"Slough, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-scientist-at-vrs-recruitment-3911752857?position=24&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=vh5PTkPgtM7YmJuFYJbifA%3D%3D&trk=public_jobs_jserp-result_search-card
24,Aviva,Junior Data Scientist,"Greater Bristol Area, United Kingdom",https://uk.linkedin.com/jobs/view/junior-data-scientist-at-aviva-3908865576?position=25&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=cHP4LLselQMUQJ90GjY2Cw%3D%3D&trk=public_jobs_jserp-result_search-card
25,Klickstarters,Junior Software Engineer,"Birmingham, England, United Kingdom",https://uk.linkedin.com/jobs/view/junior-software-engineer-at-klickstarters-3909569333?position=26&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=PYWE8wXVkbfNCbrdd2ahEw%3D%3D&trk=public_jobs_jserp-result_search-card
26,Hunter Bond,Junior Python Developer – Elite Tech Firm (up to £80K + Bonus + Hybrid),"Greater London, England, United Kingdom",https://uk.linkedin.com/jobs/view/junior-python-developer-%E2%80%93-elite-tech-firm-up-to-%C2%A380k-%2B-bonus-%2B-hybrid-at-hunter-bond-3908225638?position=27&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=YXV5hwApRvWm%2FkesZ6efcQ%3D%3D&trk=public_jobs_jserp-result_search-card
27,Lifelancer,"Data Analyst, Life Sciences","London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-life-sciences-at-lifelancer-3907161768?position=28&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=Z92H3e7UbGi%2BxRKBo1Nr%2FQ%3D%3D&trk=public_jobs_jserp-result_search-card
28,Vp plc,Graduate Group Data Analyst,"Harrogate, England, United Kingdom",https://uk.linkedin.com/jobs/view/graduate-group-data-analyst-at-vp-plc-3913390412?position=29&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=8AUyd05OWYJerhGfAy3utQ%3D%3D&trk=public_jobs_jserp-result_search-card
29,Understanding Recruitment,Data Scientist,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-scientist-at-understanding-recruitment-3906651827?position=30&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=vKydeQTxPCtVaucn3LwuqA%3D%3D&trk=public_jobs_jserp-result_search-card
30,DHL Supply Chain,Data Scientist,United Kingdom,https://uk.linkedin.com/jobs/view/data-scientist-at-dhl-supply-chain-3908880071?position=31&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=EnFOYx0DHdbsn19fsSY1mg%3D%3D&trk=public_jobs_jserp-result_search-card
31,Tiro Partners Limited,Data Analyst,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-tiro-partners-limited-3913326235?position=32&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=cNBmghoyHqdJ84CVmfr2JQ%3D%3D&trk=public_jobs_jserp-result_search-card
32,Stanford Black Limited,Python Developer,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/python-developer-at-stanford-black-limited-3908623874?position=33&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=9MXYkny3kZ77YJ8Hjsyf1w%3D%3D&trk=public_jobs_jserp-result_search-card
33,Sixty Eight People,Data Analyst,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-sixty-eight-people-3907471424?position=34&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=Rkcz73CcZwap4iCTCDRZBA%3D%3D&trk=public_jobs_jserp-result_search-card
34,Dexter Talent,Junior Data Analyst,"Liverpool, England, United Kingdom",https://uk.linkedin.com/jobs/view/junior-data-analyst-at-dexter-talent-3910926324?position=35&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=7%2BehdNvlQTRf2hhpp2zEQQ%3D%3D&trk=public_jobs_jserp-result_search-card
35,Houseful,Data Analyst,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-houseful-3909146906?position=36&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=MLyLMIjtI0BmVmsXyNqzrQ%3D%3D&trk=public_jobs_jserp-result_search-card
36,WYK Digital,Data Analytics Trainee (14 week free bootcamp),"Greater London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-analytics-trainee-14-week-free-bootcamp-at-wyk-digital-3909656585?position=37&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=y%2FLHCmJm%2BAfXBxep1mVcnw%3D%3D&trk=public_jobs_jserp-result_search-card
37,Energy Jobline,Data Scientist - Remote,"Middlesbrough, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-scientist-remote-at-energy-jobline-3911442828?position=38&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=7%2F7AHYlMyFKyvkY26FT4JQ%3D%3D&trk=public_jobs_jserp-result_search-card
38,Hunter Bond,Python Developer – Elite Fintech Company (up to £120K + Bonus + Hybrid),"Greater London, England, United Kingdom",https://uk.linkedin.com/jobs/view/python-developer-%E2%80%93-elite-fintech-company-up-to-%C2%A3120k-%2B-bonus-%2B-hybrid-at-hunter-bond-3908221895?position=39&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=l%2B%2BIh84qLyBewhv3k1u9Vw%3D%3D&trk=public_jobs_jserp-result_search-card
